,fecha,origen,destino,periodo,distancia,viajes
3821274,20200214,2807905,2807901,12,002-005,6.2
3821275,20200214,2807905,2807901,12,005-010,4.428
3821276,20200214,2807905,2807901,14,005-010,4.939
3821277,20200214,2807905,2807901,15,002-005,5.889
3821278,20200214,2807905,2807901,16,002-005,10.04
3821279,20200214,2807905,2807901,17,002-005,9.609
3821280,20200214,2807905,2807901,18,002-005,12.302
3821281,20200214,2807905,2807901,18,005-010,4.626
3821282,20200214,2807905,2807901,19,002-005,5.284
3821283,20200214,2807905,2807901,20,002-005,10.568
3821284,20200214,2807905,2807901,21,002-005,6.313
3821285,20200214,2807905,2807901,22,002-005,7.291
3821286,20200214,2807905,2807901,3,002-005,5.787
3821287,20200214,2807905,2807901,4,002-005,10.462
3821288,20200214,2807905,2807901,4,005-010,5.494
3821289,20200214,2807905,2807901,8,002-005,4.837
3821290,20200214,2807905,2807901,9,005-010,4.345
3821291,20200214,2807905,2807901,10,002-005,10.462
3821292,20200214,2807905,2807901,11,002-005,9.499
3821294,20200214,2807905,2807901,12,002-005,5.758
3821295,20200214,2807905,2807901,13,005-010,3.697
3821296,20200214,2807905,2807901,14,002-005,15.585
3821297,20200214,2807905,2807901,14,005-010,13.816
3821298,20200214,2807905,2807901,15,002-005,10.188
3821299,20200214,2807905,2807901,16,002-005,25.46
3821300,20200214,2807905,2807901,16,005-010,5.758
3821301,20200214,2807905,2807901,17,002-005,5.283
3821302,20200214,2807905,2807901,18,002-005,35.046
3821303,20200214,2807905,2807901,19,002-005,14.648
3821304,20200214,2807905,2807901,19,005-010,9.859
3821305,20200214,2807905,2807901,20,002-005,5.283
3821306,20200214,2807905,2807901,21,002-005,15.72
3821307,20200214,2807905,2807901,21,005-010,9.499
3821308,20200214,2807905,2807901,22,002-005,5.494
3821309,20200214,2807905,2807901,22,005-010,5.921
3821310,20200214,2807905,2807901,23,002-005,5.199
3821311,20200214,2807905,2807901,23,005-010,5.695
3821312,20200214,2807905,2807901,0,005-010,6.825
3821313,20200214,2807905,2807901,20,002-005,6.39
3821314,20200214,2807905,2807901,20,005-010,5.485
3821315,20200214,2807905,2807901,14,005-010,11.234
3821316,20200214,2807905,2807901,16,005-010,4.938
3821317,20200214,2807905,2807901,20,002-005,27.632
3821318,20200214,2807905,2807901,14,002-005,5.298
3821319,20200214,2807905,2807901,19,002-005,4.018
3821320,20200214,2807905,2807901,16,005-010,3.961
3821321,20200214,2807905,2807901,18,002-005,2.53
3821322,20200214,2807905,2807901,19,002-005,5.284
3821323,20200214,2807905,2807901,23,002-005,5.749
3821324,20200214,2807905,2807901,10,002-005,3.814
3821325,20200214,2807905,2807901,10,005-010,3.48
3821326,20200214,2807905,2807901,11,002-005,6.738
3821327,20200214,2807905,2807901,13,002-005,3.208
3821328,20200214,2807905,2807901,14,002-005,4.112
3821329,20200214,2807905,2807901,14,005-010,9.258
3821330,20200214,2807905,2807901,18,002-005,3.208
3821331,20200214,2807905,2807901,19,002-005,9.21
3821332,20200214,2807905,2807901,20,005-010,3.48
3821333,20200214,2807905,2807901,21,002-005,4.307
3821334,20200214,2807905,2807901,10,002-005,5.271
3821335,20200214,2807905,2807901,18,002-005,4.809
3821336,20200214,2807905,2807901,0,002-005,9.61
3821337,20200214,2807905,2807901,13,005-010,5.656
3821338,20200214,2807905,2807901,16,005-010,4.449
3821339,20200214,2807905,2807901,18,002-005,3.97
3821340,20200214,2807905,2807901,19,002-005,10.79
3821341,20200214,2807905,2807901,19,005-010,5.656
3821342,20200214,2807905,2807901,20,002-005,4.814
3821343,20200214,2807905,2807901,21,002-005,3.594
3821344,20200214,2807905,2807901,3,005-010,6.209
3821345,20200214,2807905,2807901,6,002-005,5.501
3821346,20200214,2807905,2807901,8,002-005,5.465
3821347,20200214,2807905,2807901,9,002-005,3.987
3821349,20200214,2807905,2807901,14,002-005,5.501
3821350,20200214,2807905,2807901,15,005-010,5.778
3821352,20200214,2807905,2807901,16,002-005,5.778
3821353,20200214,2807905,2807901,17,002-005,6.028
3821354,20200214,2807905,2807901,17,005-010,5.778
3821355,20200214,2807905,2807901,19,002-005,5.465
3821356,20200214,2807905,2807901,20,005-010,5.501
