,fecha,origen,destino,periodo,distancia,viajes
3302236,20200622,2807905,2807901,15,002-005,47.307
3302237,20200622,2807905,2807901,15,005-010,56.769
3302239,20200622,2807905,2807901,16,002-005,70.96
3302240,20200622,2807905,2807901,16,005-010,37.847
3302241,20200622,2807905,2807901,17,002-005,75.691
3302242,20200622,2807905,2807901,17,005-010,23.654
3302243,20200622,2807905,2807901,18,002-005,75.693
3302244,20200622,2807905,2807901,18,005-010,47.307
3302245,20200622,2807905,2807901,19,002-005,56.769
3302246,20200622,2807905,2807901,19,005-010,52.038
3302247,20200622,2807905,2807901,20,002-005,113.536
3302248,20200622,2807905,2807901,20,005-010,37.845
3302250,20200622,2807905,2807901,21,002-005,56.769
3302251,20200622,2807905,2807901,21,005-010,33.117
3302252,20200622,2807905,2807901,22,002-005,47.308
3302253,20200622,2807905,2807901,22,005-010,28.384
3302254,20200622,2807905,2807901,23,002-005,37.846
3302255,20200622,2807905,2807901,23,005-010,18.924
3302256,20200622,2807905,2807901,19,002-005,4.712
3302257,20200622,2807905,2807901,0,005-010,4.131
3302258,20200622,2807905,2807901,16,002-005,2.913
3302259,20200622,2807905,2807901,8,002-005,4.144
3302260,20200622,2807905,2807901,10,002-005,4.967
3302261,20200622,2807905,2807901,12,002-005,5.509
3302262,20200622,2807905,2807901,23,002-005,5.476
3302263,20200622,2807905,2807901,13,002-005,4.934
3302264,20200622,2807905,2807901,16,002-005,5.274
3302265,20200622,2807905,2807901,21,002-005,6.624
3302266,20200622,2807905,2807901,22,002-005,5.32
3302267,20200622,2807905,2807901,10,005-010,5.317
3302268,20200622,2807905,2807901,17,002-005,6.938
3302269,20200622,2807905,2807901,18,002-005,5.672
3302270,20200622,2807905,2807901,14,002-005,8.935
3302271,20200622,2807905,2807901,18,002-005,3.759
3302272,20200622,2807905,2807901,18,002-005,6.796
3302273,20200622,2807905,2807901,10,005-010,5.335
3302274,20200622,2807905,2807901,21,002-005,6.233
3302275,20200622,2807905,2807901,15,002-005,7.835
3302276,20200622,2807905,2807901,0,002-005,43.683
3302277,20200622,2807905,2807901,0,005-010,32.567
3302279,20200622,2807905,2807901,1,002-005,28.151
3302280,20200622,2807905,2807901,1,005-010,12.87
3302281,20200622,2807905,2807901,2,002-005,10.146
3302282,20200622,2807905,2807901,2,005-010,5.943
3302283,20200622,2807905,2807901,3,002-005,11.737
3302284,20200622,2807905,2807901,3,005-010,5.7
3302285,20200622,2807905,2807901,4,002-005,11.359
3302286,20200622,2807905,2807901,5,002-005,5.415
3302287,20200622,2807905,2807901,5,005-010,16.345
3302288,20200622,2807905,2807901,6,002-005,46.899
3302289,20200622,2807905,2807901,6,005-010,6.806
3302291,20200622,2807905,2807901,7,002-005,100.983
3302292,20200622,2807905,2807901,7,005-010,59.337
3302293,20200622,2807905,2807901,8,002-005,138.441
3302294,20200622,2807905,2807901,8,005-010,26.175
3302296,20200622,2807905,2807901,9,002-005,152.291
3302297,20200622,2807905,2807901,9,005-010,98.805
3302298,20200622,2807905,2807901,10,002-005,139.786
3302299,20200622,2807905,2807901,10,005-010,109.058
3302301,20200622,2807905,2807901,11,002-005,152.73
3302302,20200622,2807905,2807901,11,005-010,83.763
3302304,20200622,2807905,2807901,12,002-005,311.363
3302305,20200622,2807905,2807901,12,005-010,129.928
3302306,20200622,2807905,2807901,13,002-005,198.796
3302307,20200622,2807905,2807901,13,005-010,92.31
3302309,20200622,2807905,2807901,14,002-005,184.847
3302310,20200622,2807905,2807901,14,005-010,77.939
3302311,20200622,2807905,2807901,15,002-005,149.641
3302312,20200622,2807905,2807901,15,005-010,101.062
3302313,20200622,2807905,2807901,16,002-005,192.174
3302314,20200622,2807905,2807901,16,005-010,64.443
3302316,20200622,2807905,2807901,17,002-005,123.866
3302317,20200622,2807905,2807901,17,005-010,66.16
3302318,20200622,2807905,2807901,18,002-005,177.503
3302319,20200622,2807905,2807901,18,005-010,66.537
3302320,20200622,2807905,2807901,19,002-005,160.639
3302321,20200622,2807905,2807901,19,005-010,58.061
3302323,20200622,2807905,2807901,20,002-005,124.915
3302324,20200622,2807905,2807901,20,005-010,60.159
3302325,20200622,2807905,2807901,21,002-005,123.135
3302326,20200622,2807905,2807901,21,005-010,19.793
3302327,20200622,2807905,2807901,22,002-005,71.87
3302328,20200622,2807905,2807901,22,005-010,49.237
3302329,20200622,2807905,2807901,23,002-005,17.775
3302330,20200622,2807905,2807901,23,005-010,34.393
3302331,20200622,2807905,2807901,10,005-010,4.184
3302332,20200622,2807905,2807901,14,002-005,4.327
3302333,20200622,2807905,2807901,16,002-005,3.494
3302334,20200622,2807905,2807901,14,002-005,7.548
3302335,20200622,2807905,2807901,16,002-005,9.91
3302336,20200622,2807905,2807901,16,005-010,4.849
3302337,20200622,2807905,2807901,12,005-010,7.296
3302338,20200622,2807905,2807901,13,005-010,4.279
3302339,20200622,2807905,2807901,19,002-005,7.358
3302340,20200622,2807905,2807901,21,002-005,4.664
3302341,20200622,2807905,2807901,22,002-005,5.253
3302343,20200622,2807905,2807901,14,005-010,7.41
3302344,20200622,2807905,2807901,9,005-010,1.684
3302345,20200622,2807905,2807901,18,005-010,5.736
3302346,20200622,2807905,2807901,2,002-005,4.46
3302347,20200622,2807905,2807901,8,002-005,6.743
3302348,20200622,2807905,2807901,10,005-010,4.294
3302349,20200622,2807905,2807901,12,002-005,4.224
3302350,20200622,2807905,2807901,13,002-005,11.425
3302351,20200622,2807905,2807901,14,002-005,11.143
3302352,20200622,2807905,2807901,17,002-005,4.311
3302353,20200622,2807905,2807901,17,005-010,3.828
3302354,20200622,2807905,2807901,19,002-005,4.532
3302355,20200622,2807905,2807901,13,002-005,4.747
3302356,20200622,2807905,2807901,16,002-005,8.884
3302357,20200622,2807905,2807901,23,005-010,5.243
3302358,20200622,2807905,2807901,4,005-010,5.415
3302359,20200622,2807905,2807901,5,005-010,5.612
3302360,20200622,2807905,2807901,6,002-005,16.411
3302361,20200622,2807905,2807901,6,005-010,11.222
3302362,20200622,2807905,2807901,7,002-005,49.084
3302363,20200622,2807905,2807901,7,005-010,22.026
3302364,20200622,2807905,2807901,8,002-005,26.975
3302365,20200622,2807905,2807901,8,005-010,5.612
3302366,20200622,2807905,2807901,9,002-005,49.354
3302367,20200622,2807905,2807901,9,005-010,16.614
3302368,20200622,2807905,2807901,10,002-005,11.419
3302369,20200622,2807905,2807901,10,005-010,4.09
3302370,20200622,2807905,2807901,11,002-005,46.447
3302372,20200622,2807905,2807901,12,002-005,24.746
3302373,20200622,2807905,2807901,13,002-005,34.134
3302374,20200622,2807905,2807901,14,002-005,5.7
3302375,20200622,2807905,2807901,14,005-010,10.101
3302376,20200622,2807905,2807901,15,002-005,5.6
3302377,20200622,2807905,2807901,15,005-010,5.6
3302378,20200622,2807905,2807901,16,002-005,11.317
3302379,20200622,2807905,2807901,16,005-010,16.238
3302380,20200622,2807905,2807901,17,002-005,6.688
3302381,20200622,2807905,2807901,17,005-010,16.345
3302382,20200622,2807905,2807901,18,005-010,4.731
3302383,20200622,2807905,2807901,20,005-010,5.552
3302384,20200622,2807905,2807901,10,005-010,3.956
3302385,20200622,2807905,2807901,0,002-005,9.461
3302386,20200622,2807905,2807901,0,005-010,14.192
3302387,20200622,2807905,2807901,1,002-005,4.731
3302388,20200622,2807905,2807901,1,005-010,4.731
3302389,20200622,2807905,2807901,4,005-010,9.462
3302390,20200622,2807905,2807901,5,005-010,4.731
3302391,20200622,2807905,2807901,8,005-010,4.731
3302392,20200622,2807905,2807901,9,002-005,4.731
3302393,20200622,2807905,2807901,10,002-005,9.462
3302394,20200622,2807905,2807901,11,002-005,9.462
3302395,20200622,2807905,2807901,12,005-010,4.731
3302396,20200622,2807905,2807901,13,002-005,23.653
3302397,20200622,2807905,2807901,13,005-010,4.731
3302398,20200622,2807905,2807901,14,002-005,56.768
3302399,20200622,2807905,2807901,14,005-010,52.037
3302401,20200622,2807905,2807901,15,002-005,33.116
3302402,20200622,2807905,2807901,15,005-010,14.192
3302403,20200622,2807905,2807901,16,002-005,23.654
3302404,20200622,2807905,2807901,16,005-010,37.845
3302405,20200622,2807905,2807901,17,002-005,42.576
3302406,20200622,2807905,2807901,17,005-010,4.731
3302407,20200622,2807905,2807901,18,002-005,42.577
3302408,20200622,2807905,2807901,18,005-010,14.192
3302409,20200622,2807905,2807901,19,002-005,47.308
3302410,20200622,2807905,2807901,19,005-010,4.731
3302411,20200622,2807905,2807901,20,002-005,18.923
3302412,20200622,2807905,2807901,20,005-010,23.654
3302413,20200622,2807905,2807901,21,002-005,9.462
3302414,20200622,2807905,2807901,21,005-010,14.192
3302415,20200622,2807905,2807901,22,002-005,18.924
3302416,20200622,2807905,2807901,21,005-010,10.576
3302417,20200622,2807905,2807901,12,002-005,4.211
3302418,20200622,2807905,2807901,0,002-005,5.415
3302419,20200622,2807905,2807901,0,005-010,5.415
3302420,20200622,2807905,2807901,5,002-005,5.943
3302421,20200622,2807905,2807901,6,005-010,16.491
3302422,20200622,2807905,2807901,7,002-005,5.612
3302423,20200622,2807905,2807901,8,002-005,28.926
3302424,20200622,2807905,2807901,9,002-005,63.035
3302425,20200622,2807905,2807901,10,002-005,21.959
3302426,20200622,2807905,2807901,10,005-010,11.212
3302427,20200622,2807905,2807901,11,002-005,70.965
3302428,20200622,2807905,2807901,11,005-010,11.053
3302429,20200622,2807905,2807901,12,002-005,42.759
3302430,20200622,2807905,2807901,12,005-010,5.7
3302432,20200622,2807905,2807901,13,002-005,78.45
3302433,20200622,2807905,2807901,13,005-010,5.6
3302434,20200622,2807905,2807901,14,002-005,81.872
3302435,20200622,2807905,2807901,14,005-010,29.661
3302436,20200622,2807905,2807901,15,002-005,49.596
3302437,20200622,2807905,2807901,15,005-010,25.299
3302438,20200622,2807905,2807901,16,002-005,37.581
3302439,20200622,2807905,2807901,16,005-010,11.934
3302440,20200622,2807905,2807901,17,002-005,27.986
3302441,20200622,2807905,2807901,17,005-010,10.173
3302443,20200622,2807905,2807901,18,002-005,45.498
3302444,20200622,2807905,2807901,18,005-010,11.252
3302446,20200622,2807905,2807901,19,002-005,72.099
3302447,20200622,2807905,2807901,19,005-010,10.788
3302448,20200622,2807905,2807901,20,002-005,39.272
3302449,20200622,2807905,2807901,20,005-010,5.415
3302450,20200622,2807905,2807901,21,002-005,34.178
3302451,20200622,2807905,2807901,21,005-010,28.138
3302452,20200622,2807905,2807901,22,002-005,21.371
3302453,20200622,2807905,2807901,23,005-010,11.115
3302454,20200622,2807905,2807901,13,002-005,3.828
3426496,20200623,2807905,2807901,0,002-005,5.279
3426497,20200623,2807905,2807901,1,002-005,5.279
3426498,20200623,2807905,2807901,2,002-005,5.279
3426499,20200623,2807905,2807901,2,005-010,10.557
3426500,20200623,2807905,2807901,3,002-005,5.279
3426501,20200623,2807905,2807901,4,002-005,36.951
3426502,20200623,2807905,2807901,4,005-010,5.279
3426503,20200623,2807905,2807901,5,002-005,42.23
3426504,20200623,2807905,2807901,5,005-010,21.115
3426505,20200623,2807905,2807901,6,002-005,58.065
3426506,20200623,2807905,2807901,6,005-010,26.394
3426508,20200623,2807905,2807901,7,002-005,95.018
3426509,20200623,2807905,2807901,7,005-010,15.836
3426511,20200623,2807905,2807901,8,002-005,105.573
3426512,20200623,2807905,2807901,8,005-010,42.23
3426513,20200623,2807905,2807901,9,002-005,168.917
3426514,20200623,2807905,2807901,9,005-010,42.23
3426515,20200623,2807905,2807901,10,002-005,73.901
3426516,20200623,2807905,2807901,10,005-010,58.066
3426517,20200623,2807905,2807901,11,002-005,68.621
3426518,20200623,2807905,2807901,11,005-010,31.672
3426519,20200623,2807905,2807901,12,002-005,58.065
3426520,20200623,2807905,2807901,12,005-010,15.837
3426521,20200623,2807905,2807901,13,002-005,105.573
3426522,20200623,2807905,2807901,13,005-010,15.837
3426523,20200623,2807905,2807901,14,002-005,73.904
3426524,20200623,2807905,2807901,14,005-010,31.673
3426525,20200623,2807905,2807901,15,002-005,116.13
3426526,20200623,2807905,2807901,15,005-010,52.786
